City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,morgan city,29.6994,-91.2068,24.44,68,20,3.6,US,1675811641
277,namwala,-15.7504,26.4384,18.25,98,96,1.64,ZM,1675811641
278,panama city,8.9936,-79.5197,28.43,68,40,4.12,PA,1675811488
279,itupiranga,-5.1347,-49.3267,25.18,95,98,1.72,BR,1675811642
280,salamiyah,35.0113,37.0532,2.73,93,59,8.47,SY,1675811643
281,vengerovo,55.6848,76.7471,-18.17,98,96,2.09,RU,1675811400
282,chuy,-33.6971,-53.4616,23.19,72,15,5.19,UY,1675811645
283,dalbandin,28.8947,64.4101,15.68,23,61,1.37,PK,1675811647
284,eskisehir,39.7767,30.5206,-4.05,80,75,4.12,TR,1675811648
285,awjilah,29.1081,21.2869,10.95,56,100,3.61,LY,1675811648
286,teya,60.3778,92.6267,-11.9,97,100,1.17,RU,1675811649
287,lagoa,39.05,-27.9833,13.16,60,72,6.71,PT,1675811650
288,miami beach,25.7906,-80.1301,23.34,65,40,6.69,US,1675811358
289,impfondo,1.6381,18.0667,23.01,46,46,0.88,CG,1675811651
290,oranjestad,12.524,-70.027,26.06,79,0,2.24,AW,1675811508
291,leningradskiy,69.3833,178.4167,-31.78,96,100,2.48,RU,1675811669
292,standerton,-26.9337,29.2415,17.01,98,32,2.31,ZA,1675811680
293,havre-saint-pierre,50.2334,-63.5986,-12.23,83,43,3.44,CA,1675811680
294,kuminskiy,58.6667,66.5667,-23.68,100,98,1.24,RU,1675811681
295,bairiki,1.3292,172.9752,29.0,70,20,6.69,KI,1675811686
296,shelburne,44.0787,-80.2041,2.84,97,94,7.97,CA,1675811689
297,santiago,-33.4569,-70.6483,31.41,38,0,6.17,CL,1675811584
298,ballangen,68.3428,16.8315,3.93,81,75,6.69,NO,1675811690
299,diego de almagro,-26.3667,-70.05,24.75,36,66,3.87,CL,1675811690
300,khash,28.2211,61.2158,12.1,49,11,3.21,IR,1675811691
301,paragould,36.0584,-90.4973,14.88,90,100,4.97,US,1675811691
302,camana,-16.6228,-72.7111,24.36,82,62,3.4,PE,1675811691
303,saint george,37.1041,-113.5841,13.02,32,0,2.24,US,1675811692
304,sun city west,33.662,-112.3413,21.21,18,0,5.14,US,1675811425
305,moindou,-21.6924,165.677,28.34,73,100,2.25,NC,1675811692
306,dicabisagan,17.0818,122.4157,23.72,89,56,1.2,PH,1675811693
307,manta,-0.95,-80.7333,28.88,74,75,4.12,EC,1675811693
308,tigil,57.8,158.6667,-22.32,96,100,2.54,RU,1675811693
309,codrington,-38.2667,141.9667,17.27,66,59,5.61,AU,1675811694
310,winnemucca,40.973,-117.7357,6.55,44,91,2.3,US,1675811694
311,tessalit,20.1986,1.0114,23.34,15,97,1.19,ML,1675811694
312,silver city,32.7701,-108.2803,3.98,76,75,2.24,US,1675811695
313,hwange,-18.3693,26.5019,20.17,83,51,0.59,ZW,1675811695
314,constitucion,-35.3333,-72.4167,18.95,62,10,4.38,CL,1675811696
315,san juan,-31.5375,-68.5364,36.95,15,0,4.69,AR,1675811696
316,aquiraz,-3.9014,-38.3911,27.88,76,100,5.04,BR,1675811696
317,nuuk,64.1835,-51.7216,-12.66,78,75,2.57,GL,1675811697
318,iregszemcse,46.6929,18.1858,-3.16,63,0,1.4,HU,1675811697
319,kamenka,51.3223,42.7678,-13.97,95,9,3.57,RU,1675811697
320,balabac,7.9868,117.0645,25.93,85,100,5.21,PH,1675811698
321,gigmoto,13.7796,124.39,25.78,84,100,5.07,PH,1675811698
322,necochea,-38.5473,-58.7368,23.68,72,26,9.18,AR,1675811698
323,port macquarie,-31.4333,152.9167,23.83,67,96,1.62,AU,1675811546
324,san andres,12.5847,-81.7006,28.01,74,40,8.23,CO,1675811508
325,domoni,-12.2569,44.5319,26.13,85,98,2.55,KM,1675811699
326,vidalia,32.2177,-82.4135,20.97,40,0,0.0,US,1675811699
327,egvekinot,66.3167,-179.1667,-29.86,87,98,3.87,RU,1675811700
328,ossora,59.2353,163.0719,-26.44,88,100,2.68,RU,1675811700
329,paamiut,61.994,-49.6678,-18.13,85,99,5.02,GL,1675811700
330,aloleng,16.1307,119.7824,24.84,81,47,3.64,PH,1675811701
331,bambous virieux,-20.3428,57.7575,24.56,82,36,6.72,MU,1675811703
332,guarapari,-20.6667,-40.4975,26.61,90,95,4.94,BR,1675811703
333,altamont,42.2068,-121.7372,10.78,53,0,2.06,US,1675811704
334,celestun,20.8667,-90.4,27.28,66,5,5.22,MX,1675811705
335,luanda,-8.8368,13.2343,25.54,77,36,4.41,AO,1675811706
336,gorahun,7.4661,-11.2375,23.52,85,93,1.2,SL,1675811707
337,ambulu,-8.345,113.6058,23.59,93,100,1.93,ID,1675811707
338,castanos,26.7833,-101.4167,22.41,47,15,6.25,MX,1675811430
339,mujiayingzi,42.1167,118.7833,-9.84,50,0,2.99,CN,1675811721
340,kalakamati,-20.5929,27.3121,20.9,56,44,3.22,BW,1675811732
341,dakar,14.6937,-17.4441,20.49,71,99,9.01,SN,1675811733
342,kendari,-3.945,122.4989,25.24,86,100,0.32,ID,1675811733
343,palasa,18.7667,84.4167,19.34,84,3,1.97,IN,1675811734
344,russell,32.3502,-85.1999,20.78,52,75,2.06,US,1675811729
345,vallenar,-28.5708,-70.7581,26.25,42,15,3.27,CL,1675811742
346,sumkino,58.1108,68.3244,-25.57,100,89,1.35,RU,1675811742
347,petropavlovka,50.6114,105.3196,-23.91,99,68,1.34,RU,1675811743
348,klaksvik,62.2266,-6.589,8.51,85,100,24.43,FO,1675811748
349,kavaratti,10.5669,72.642,26.52,71,97,5.4,IN,1675811751
350,tual,-5.6667,132.75,27.77,77,100,10.11,ID,1675811751
351,mamakan,57.8161,114.0028,-22.84,99,100,0.18,RU,1675811754
352,chilca,-12.5211,-76.7372,23.93,82,7,2.69,PE,1675811754
353,garowe,8.4054,48.4845,18.84,88,19,3.67,SO,1675811755
354,coseiu,47.3167,22.9833,-4.04,90,98,0.98,RO,1675811755
355,berlevag,70.8578,29.0864,1.97,69,48,13.38,NO,1675811756
356,waingapu,-9.6567,120.2641,25.92,86,99,3.43,ID,1675811756
357,padrauna,26.9025,83.9819,13.29,77,0,1.32,IN,1675811756
358,cantagalo,-21.9811,-42.3681,21.26,98,100,0.83,BR,1675811757
359,dzhebariki-khaya,62.2167,135.8,-45.33,100,100,0.5,RU,1675811757
360,eureka,40.8021,-124.1637,15.9,63,52,1.34,US,1675811636
361,sambava,-14.2667,50.1667,23.83,89,85,3.45,MG,1675811758
362,arlit,18.7369,7.3853,23.95,13,100,2.7,NE,1675811758
363,bonavista,48.6499,-53.1147,-5.19,67,100,9.34,CA,1675811759
364,huanuco,-9.9329,-76.2415,21.22,69,51,3.34,PE,1675811759
365,adrar,20.5022,-10.0711,16.57,21,93,4.89,MR,1675811759
366,vila do maio,15.1333,-23.2167,20.44,67,4,9.0,CV,1675811760
367,balikpapan,-1.2675,116.8289,24.55,88,20,1.54,ID,1675811760
368,saint-augustin,51.226,-58.6502,-19.67,86,1,1.83,CA,1675811760
369,galatista,40.4667,23.2833,-0.6,54,7,0.45,GR,1675811761
370,danville,36.586,-79.395,14.36,45,0,2.06,US,1675811761
371,touros,-5.1989,-35.4608,26.6,67,70,7.15,BR,1675811762
372,shimoda,34.6667,138.95,8.95,76,89,2.69,JP,1675811763
373,bambanglipuro,-7.95,110.2833,23.29,95,100,1.72,ID,1675811763
374,nome,64.5011,-165.4064,-18.96,78,0,1.54,US,1675811764
375,key west,24.5557,-81.7826,26.0,70,0,7.2,US,1675811519
376,lahij,13.1667,44.5833,20.85,66,10,1.36,YE,1675811768
377,sikonge,-5.6333,32.7667,17.39,92,66,1.26,TZ,1675811768
378,tooele,40.5308,-112.2983,3.07,68,65,0.98,US,1675811769
379,port blair,11.6667,92.75,24.56,75,30,4.31,IN,1675811770
380,rabo de peixe,37.8,-25.5833,12.73,82,20,7.2,PT,1675811732
381,isangel,-19.55,169.2667,29.06,89,100,1.03,VU,1675811770
382,saldanha,-33.0117,17.9442,18.23,88,29,8.4,ZA,1675811774
383,huilong,31.8111,121.655,4.96,91,99,3.47,CN,1675811775
384,lucapa,-8.4192,20.7447,19.03,90,100,1.39,AO,1675811776
385,ballyhaunis,53.7667,-8.7667,3.73,96,53,2.72,IE,1675811776
386,talaya,61.3833,152.75,-40.23,99,100,0.48,RU,1675811777
387,nevel,56.0209,29.9284,-4.18,93,100,2.68,RU,1675811777
388,bumbuna,9.05,-11.7333,23.43,60,87,1.47,SL,1675811788
389,lahaina,20.8783,-156.6825,26.64,87,3,4.37,US,1675811794
390,zaozhuang,34.8647,117.5542,4.07,81,100,2.4,CN,1675811794
391,byron bay,-28.65,153.6167,23.86,63,97,3.12,AU,1675811800
392,alyangula,-13.8483,136.4192,29.11,68,100,1.69,AU,1675811801
393,ahipara,-35.1667,173.1667,21.35,59,97,3.3,NZ,1675811801
394,labytnangi,66.6572,66.4183,-17.19,95,100,4.85,RU,1675811801
395,ilawa,53.596,19.5685,-1.19,81,99,1.52,PL,1675811802
396,jak,47.1425,16.5815,-5.48,74,3,2.72,HU,1675811626
397,icod de los vinos,28.3724,-16.7119,15.81,78,19,0.83,ES,1675811802
398,kadyy,57.787,43.1903,-13.32,95,97,3.11,RU,1675811803
399,carballo,43.213,-8.691,6.12,75,43,5.17,ES,1675811803
400,araouane,18.9048,-3.5265,21.73,16,64,5.58,ML,1675811803
401,berdigestyakh,62.0989,126.6992,-41.22,100,100,0.57,RU,1675811804
402,svatove,49.4103,38.1503,-9.53,87,15,5.98,UA,1675811804
403,kaseda,31.4167,130.3167,11.11,77,96,5.29,JP,1675811804
404,shingu,33.7333,135.9833,7.46,83,1,3.34,JP,1675811805
405,norman wells,65.282,-126.8329,-17.84,95,100,0.97,CA,1675811805
406,grindavik,63.8424,-22.4338,-2.74,80,75,11.32,IS,1675811805
407,culpeper,38.5004,-77.9664,11.95,56,0,1.54,US,1675811806
408,college,64.8569,-147.8028,-10.44,77,75,0.0,US,1675811809
409,tura,25.5198,90.2201,14.89,50,19,1.57,IN,1675811810
410,ambositra,-20.5167,47.25,15.39,96,100,1.24,MG,1675811810
411,ostrovnoy,68.0531,39.5131,0.15,76,65,10.45,RU,1675811810
412,mana,5.6592,-53.7767,24.33,89,23,4.46,GF,1675811811
413,ferrol,43.4832,-8.2369,6.49,70,60,9.03,ES,1675811811
414,nikolsk,53.7189,46.0712,-19.7,100,100,1.74,RU,1675811811
415,tandil,-37.3217,-59.1332,27.05,33,40,3.1,AR,1675811812
416,westport,41.1415,-73.3579,4.38,75,40,3.6,US,1675811696
417,alofi,-19.0595,-169.9187,25.94,94,100,3.6,NU,1675811812
418,savasleyka,55.4606,42.3207,-19.99,100,100,1.15,RU,1675811813
419,valparaiso,-33.0393,-71.6273,20.13,77,0,4.12,CL,1675811704
420,ciudad bolivar,8.1222,-63.5497,29.36,52,99,5.9,VE,1675811813
421,adolfo lopez mateos,28.4667,-107.3,13.85,9,0,12.21,MX,1675811813
422,usogorsk,63.4106,48.6872,-6.32,94,100,4.92,RU,1675811814
423,praia,14.9215,-23.5087,20.3,60,40,9.26,CV,1675811814
424,aykhal,66.0,111.5,-38.92,100,99,1.52,RU,1675811815
425,norsup,-16.0667,167.3833,27.25,74,100,0.78,VU,1675811815
426,madhipura,25.9167,86.7833,14.04,64,0,1.5,IN,1675811815
427,san luis,-33.295,-66.3356,31.95,23,10,4.58,AR,1675811560
428,sisimiut,66.9395,-53.6735,-25.14,98,91,1.2,GL,1675811816
429,korla,41.7597,86.1469,-1.45,85,73,0.75,CN,1675811816
430,mount vernon,40.9126,-73.8371,4.94,74,75,6.69,US,1675811817
431,port hedland,-20.3167,118.5667,29.03,84,4,0.0,AU,1675811771
432,taoudenni,22.6783,-3.9836,19.34,20,90,5.08,ML,1675811817
433,zyryanka,65.75,150.85,-36.07,96,89,1.8,RU,1675811818
434,puro,12.4841,123.3827,24.67,87,65,3.31,PH,1675811818
435,hanzhong,33.0728,107.0303,8.59,80,100,3.14,CN,1675811818
436,san cristobal,7.7669,-72.225,23.1,62,27,0.86,VE,1675811712
437,alindao,5.0267,21.2088,25.17,20,7,0.68,CF,1675811819
438,hermiston,45.8404,-119.2895,11.59,62,100,2.24,US,1675811573
439,tecpan,14.7623,-90.9947,18.27,47,40,2.5,GT,1675811819
440,kavieng,-2.5744,150.7967,27.48,78,100,4.49,PG,1675811820
441,tolland,41.8501,-72.3495,1.24,62,0,3.09,US,1675811820
442,san quintin,30.4833,-115.95,17.52,41,0,4.72,MX,1675811821
443,komsomolskiy,40.4272,71.7189,0.4,86,10,2.06,UZ,1675811821
444,ayan,56.45,138.1667,-31.46,81,24,3.8,RU,1675811822
445,tolosa,43.6043,1.4437,5.99,70,0,5.14,FR,1675811822
446,tautira,-17.7333,-149.15,26.53,65,0,2.29,PF,1675811824
447,iralaya,15.0,-83.2333,25.39,84,55,6.08,HN,1675811825
448,abu dhabi,24.4667,54.3667,22.2,42,10,1.79,AE,1675811326
449,snezhnogorsk,69.1933,33.2531,0.88,79,11,11.64,RU,1675811827
450,whitianga,-36.8333,175.7,21.44,59,100,4.51,NZ,1675811828
451,bajil,15.0584,43.2851,24.26,76,2,1.61,YE,1675811830
452,tabuny,52.7773,78.7896,-22.77,100,84,2.37,RU,1675811831
453,amapa,1.0,-52.0,22.47,98,100,1.27,BR,1675811835
454,copiapo,-27.3667,-70.3333,18.83,40,38,2.49,CL,1675811368
455,cayenne,4.9333,-52.3333,24.02,94,75,1.54,GF,1675811639
456,montlucon,46.3333,2.6,-2.39,92,6,1.35,FR,1675811806
457,hamilton,39.1834,-84.5333,12.83,81,100,3.6,US,1675811475
458,kismayo,-0.3582,42.5454,24.52,86,37,6.37,SO,1675811842
459,bila tserkva,49.8094,30.1121,-8.39,95,55,3.33,UA,1675811844
460,itaituba,-4.2761,-55.9836,23.52,98,99,0.25,BR,1675811845
461,paoua,7.2427,16.4406,22.85,15,3,1.57,CF,1675811845
462,el alto,-4.2714,-81.2147,26.81,71,12,4.46,PE,1675811546
463,narsaq,60.9167,-46.05,-19.88,68,0,3.05,GL,1675811856
464,jasper,37.2001,-94.3502,8.33,76,100,2.57,US,1675811865
465,sioux lookout,50.1001,-91.917,-10.81,94,96,0.94,CA,1675811867
466,zhangjiakou,40.81,114.8794,-7.77,74,2,2.18,CN,1675811868
467,pangai,-19.8,-174.35,26.91,81,100,7.93,TO,1675811869
468,itape,-25.85,-56.6167,32.04,28,20,3.16,PY,1675811869
469,rincon,32.296,-81.2354,18.98,60,75,4.63,US,1675811869
470,shimanovsk,52.0,127.7,-32.61,97,23,1.13,RU,1675811870
471,ponta delgada,37.7333,-25.6667,13.4,82,20,7.2,PT,1675811870
472,jashpurnagar,22.9,84.15,13.1,40,0,2.59,IN,1675811871
473,puerto leguizamo,-0.1934,-74.7819,27.41,63,81,0.6,CO,1675811871
474,uwajima,33.2238,132.56,8.75,85,77,4.18,JP,1675811871
475,ames,42.0347,-93.6199,4.61,68,0,3.6,US,1675811749
476,gobabis,-22.45,18.9667,19.73,78,98,2.74,NA,1675811872
477,broken hill,-31.95,141.4333,25.54,22,0,6.09,AU,1675811872
478,tandalti,13.0167,31.8667,19.2,22,2,8.18,SD,1675811873
479,niteroi,-22.8833,-43.1036,26.45,94,100,3.6,BR,1675811873
480,shangrao,28.4532,117.9686,10.56,94,100,2.84,CN,1675811873
481,vila franca do campo,37.7167,-25.4333,13.23,82,83,5.31,PT,1675811874
482,lixourion,38.2019,20.4314,4.84,65,40,4.5,GR,1675811874
483,orly,48.75,2.4,2.27,78,0,2.57,FR,1675811874
484,brae,60.3964,-1.353,6.6,75,34,14.19,GB,1675811875
485,hauterive,46.0901,3.4459,-1.58,78,1,0.59,FR,1675811875
486,ancud,-41.8697,-73.8203,16.97,83,6,3.22,CL,1675811875
487,lethem,3.3803,-59.7968,28.3,61,78,4.7,GY,1675811876
488,samoded,63.6083,40.5111,0.36,90,100,5.22,RU,1675811876
489,chumikan,54.7183,135.315,-31.79,89,35,4.53,RU,1675811877
490,beira,-19.8436,34.8389,25.24,90,45,2.68,MZ,1675811877
491,santa isabel do rio negro,-0.4139,-65.0192,24.92,89,73,0.87,BR,1675811877
492,okha,53.5739,142.9478,-24.78,88,100,3.08,RU,1675811878
493,lander,42.833,-108.7307,-2.72,79,0,2.06,US,1675811835
494,viedma,-40.8135,-62.9967,22.32,63,15,5.54,AR,1675811878
495,quchan,37.106,58.5095,4.58,77,51,2.1,IR,1675811878
496,isabela,6.7085,121.9711,24.03,82,100,0.5,PH,1675811879
497,kursavka,44.4564,42.5093,-6.52,95,100,2.42,RU,1675811879
498,jatai,-17.8814,-51.7144,20.82,93,87,1.87,BR,1675811683
499,sao joao da barra,-21.6403,-41.0511,26.05,93,100,1.68,BR,1675811880
500,zhezkazgan,47.8043,67.7144,-17.01,85,75,4.0,KZ,1675811880
501,lakes entrance,-37.8811,147.981,17.31,73,8,1.59,AU,1675811880
502,buin,-33.7333,-70.75,31.9,32,0,3.5,CL,1675811881
503,biltine,14.5333,20.9167,21.18,19,96,8.49,TD,1675811881
504,asmara,15.3333,38.9333,11.81,90,78,3.41,ER,1675811882
505,kolosovka,56.4678,73.611,-24.0,100,97,2.39,RU,1675811882
506,arman,59.7,150.1667,-31.66,82,61,3.69,RU,1675811883
507,lata,40.1629,-8.3327,5.6,78,4,1.76,PT,1675811883
508,puri,19.8,85.85,23.23,78,1,4.34,IN,1675811884
509,elizabeth city,36.2946,-76.2511,12.23,74,0,3.09,US,1675811884
510,tineo,43.3376,-6.4145,0.14,97,86,1.77,ES,1675811885
511,mpongwe,-13.5091,28.155,17.55,99,100,1.31,ZM,1675811887
512,katsuura,35.1333,140.3,10.34,79,98,8.18,JP,1675811795
513,saint-joseph,-21.3667,55.6167,24.21,81,67,6.2,RE,1675811891
514,evanston,42.0411,-87.6901,3.54,76,20,3.6,US,1675811893
515,yar-sale,66.8333,70.8333,-19.12,91,99,6.85,RU,1675811894
516,abalak,58.1286,68.5944,-25.41,100,71,1.42,RU,1675811895
517,yerbogachen,61.2767,108.0108,-29.59,100,97,0.94,RU,1675811896
518,aljezur,37.3191,-8.8033,9.07,88,5,2.09,PT,1675811896
519,ortakoy,38.7373,34.0387,-5.86,96,100,2.16,TR,1675811897
520,beboto,8.2668,16.939,24.51,15,5,1.63,TD,1675811897
521,tuy hoa,13.0833,109.3,21.99,93,40,1.62,VN,1675811898
522,puerto ayacucho,5.6639,-67.6236,28.76,58,94,1.27,VE,1675811898
523,pampas,-12.4,-74.9,12.4,78,72,2.88,PE,1675811901
524,latung,5.5,120.8833,27.29,72,100,3.09,PH,1675811904
525,high level,58.5169,-117.136,-1.86,78,1,2.7,CA,1675811748
526,channel-port aux basques,47.5702,-59.1367,-7.25,73,98,8.02,CA,1675811905
527,half moon bay,37.4636,-122.4286,17.73,62,0,6.17,US,1675811464
528,san,13.3034,-4.8956,29.61,12,85,4.12,ML,1675811665
529,boa vista,2.8197,-60.6733,28.99,61,20,2.57,BR,1675811811
530,mangrol,21.1167,70.1167,20.58,61,5,3.39,IN,1675811909
531,maldonado,-34.6667,-54.9167,24.66,64,20,5.5,UY,1675811911
532,amahai,-3.3333,128.9167,26.1,80,100,1.45,ID,1675811915
533,dingle,10.9995,122.6711,23.45,92,100,3.53,PH,1675811922
534,krotoszyn,51.6987,17.4374,-0.81,87,44,1.04,PL,1675811927
535,ocean city,39.2776,-74.5746,6.01,82,100,2.68,US,1675811928
536,nyurba,63.2842,118.3319,-37.91,98,100,0.66,RU,1675811929
537,damara,4.9608,18.7035,25.03,18,9,1.32,CF,1675811929
538,yamada,39.4667,141.95,1.16,88,99,4.07,JP,1675811929
539,viline,44.8456,33.6716,-1.6,88,100,8.33,UA,1675811930
540,dikson,73.5069,80.5464,-24.33,92,100,9.07,RU,1675811824
541,patulele,44.3453,22.7728,-2.28,70,86,2.36,RO,1675811930
542,astorga,-23.2325,-51.6656,21.29,84,23,1.01,BR,1675811930
543,davidson,36.1501,-86.7833,19.25,55,75,4.63,US,1675811931
544,the valley,18.217,-63.0578,25.08,83,20,4.12,AI,1675811932
545,hidalgo,20.5,-99.0,23.93,16,17,3.58,MX,1675811932
546,camocim,-2.9022,-40.8411,25.27,86,99,4.74,BR,1675811933
547,port hueneme,34.1478,-119.1951,23.21,30,0,7.72,US,1675811933
548,barcelos,41.5388,-8.6151,9.82,74,10,2.53,PT,1675811815
549,nova olimpia,-14.7972,-57.2881,24.38,88,23,0.39,BR,1675811934
550,qasigiannguit,68.8193,-51.1922,-22.86,98,100,0.92,GL,1675811934
551,goderich,43.7501,-81.7165,2.17,91,100,8.17,CA,1675811748
552,zabol,32.25,67.25,0.38,84,100,4.4,AF,1675811934
553,palu,-0.8917,119.8707,24.01,95,100,0.82,ID,1675811935
554,rocha,-34.4833,-54.3333,22.81,68,29,4.63,UY,1675811935
555,uaua,-9.8414,-39.4817,27.36,31,100,4.75,BR,1675811935
